business_id,business_name,business_address,business_postal_code,business_latitude,business_longitude,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category,date,time
3649,SAFEWAY #1490,2300 16th St,94103,37.765708,-122.409002,-152048954,2017-12-06,82,Routine - Unscheduled,103131,Moderate risk vermin infestation,Moderate Risk,2017-12-06,1970-01-01T12:00:00.000Z
184,RADIO HABANA,1109 VALENCIA St,94110,37.755124,-122.420916,1240311029,2018-02-13,90,Routine - Unscheduled,103129,Insufficient hot water or running water,Moderate Risk,2018-02-13,1970-01-01T12:00:00.000Z
1154,SUNFLOWER RESTAURANT,506 Valencia St,94103,37.764678,-122.421905,-543926665,2019-03-27,46,Routine - Unscheduled,103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,2019-03-27,1970-01-01T12:00:00.000Z
1636,AXUM,698 Haight St,94117,37.771738,-122.433583,411423755,2018-10-03,88,Routine - Unscheduled,103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,2018-10-03,1970-01-01T12:00:00.000Z
7764,YASUKOCHI'S SWEET SHOP,1790 SUTTER St,94115,37.78659,-122.429815,-968899858,2018-07-18,90,Routine - Unscheduled,103154,Unclean or degraded floors walls or ceilings,Low Risk,2018-07-18,1970-01-01T12:00:00.000Z
37482,Bursa,60 West Portal Ave.,94127,37.740144,-122.466569,-1286269186,2018-02-22,92,Routine - Unscheduled,103120,Moderate risk food holding temperature,Moderate Risk,2018-02-22,1970-01-01T12:00:00.000Z
59044,Taqueria Cazadores,1600 C Mission St,94110,37.749851,-122.415121,-1159851878,2018-01-22,78,Routine - Unscheduled,103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,2018-01-22,1970-01-01T12:00:00.000Z
2841,"THE OLYMPIC CLUB AT LAKESIDE, UPPER",599 SKYLINE Blvd,94132,37.708887,-122.497934,652329282,2017-08-18,94,Routine - Unscheduled,103144,Unapproved or unmaintained equipment or utensils,Low Risk,2017-08-18,1970-01-01T12:00:00.000Z
3046,Mollie Stone's Grand Central Market,2435 CALIFORNIA St,94115,37.788773,-122.434697,-322507511,2017-05-05,94,Routine - Unscheduled,103145,Improper storage of equipment utensils or linens,Low Risk,2017-05-05,1970-01-01T12:00:00.000Z
3838,CAFE PICARO,3120 16th St,94103,37.764908,-122.422442,1568090878,2018-02-22,72,Routine - Unscheduled,103120,Moderate risk food holding temperature,Moderate Risk,2018-02-22,1970-01-01T12:00:00.000Z
63503,Mason Street Deli and Market,39 MASON,94102,37.784094,-122.409274,-1936450180,2018-06-04,96,Routine - Unscheduled,103154,Unclean or degraded floors walls or ceilings,Low Risk,2018-06-04,1970-01-01T12:00:00.000Z
1300,WE BE SUSHI,1071 VALENCIA St,94110,37.755824,-122.420986,1171152125,2017-10-05,74,Routine - Unscheduled,103154,Unclean or degraded floors walls or ceilings,Low Risk,2017-10-05,1970-01-01T12:00:00.000Z
557,TASTEBUDS,600 05th Ave,94118,37.77721,-122.462874,-114393943,2018-09-05,83,Routine - Unscheduled,103109,Unclean or unsanitary food contact surfaces,High Risk,2018-09-05,1970-01-01T12:00:00.000Z
1664,PANDA EXPRESS,865 MARKET St C24,94103,37.784317,-122.407563,-1083533722,2019-08-22,96,Routine - Unscheduled,103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,2019-08-22,1970-01-01T12:00:00.000Z
32671,La Taqueria Guadalajara,3146 24th St,94110,37.752512,-122.415109,-1349931748,2018-05-08,75,Routine - Unscheduled,103133,Foods not protected from contamination,Moderate Risk,2018-05-08,1970-01-01T12:00:00.000Z
3165,HAN IL KWAN,1802 BALBOA St,94121,37.776599,-122.478292,-1307398777,2018-11-27,83,Routine - Unscheduled,103144,Unapproved or unmaintained equipment or utensils,Low Risk,2018-11-27,1970-01-01T12:00:00.000Z
33160,Mission Bay Cafe,550 Terry Francois St,94158,37.770518,-122.386525,305408693,2016-12-05,94,Routine - Unscheduled,103120,Moderate risk food holding temperature,Moderate Risk,2016-12-05,1970-01-01T12:00:00.000Z
943,EL CASTILLITO TAQUERIA INC.,136 CHURCH St,94114,37.768776,-122.429095,-169100086,2018-04-26,76,Routine - Unscheduled,103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,2018-04-26,1970-01-01T12:00:00.000Z
4874,JUMP START COFFEE & GROCERY,1192 GUERRERO St,94110,37.752118,-122.422914,2088866367,2017-08-15,88,Routine - Unscheduled,103142,Unclean nonfood contact surfaces,Low Risk,2017-08-15,1970-01-01T12:00:00.000Z
1426,SWEET DELIGHT BAKERY,4476A MISSION,94112,37.726117,-122.433817,886240258,2016-10-26,70,Routine - Unscheduled,103121,Inadequate procedures or records for time as a public health control,Moderate Risk,2016-10-26,1970-01-01T12:00:00.000Z
5838,HARVEY MILK ELEMENTARY SCHOOL,4235 19th St,94114,37.759173,-122.436488,-295361331,2019-09-25,93,Routine - Unscheduled,103112,No hot water or running water,High Risk,2019-09-25,1970-01-01T12:00:00.000Z
3838,CAFE PICARO,3120 16th St,94103,37.764908,-122.422442,1568090878,2018-02-22,72,Routine - Unscheduled,103154,Unclean or degraded floors walls or ceilings,Low Risk,2018-02-22,1970-01-01T12:00:00.000Z
63121,Sodini's Restaurant,510 Green St,94133,37.799697,-122.407614,-1481734515,2019-06-05,86,Routine - Unscheduled,103161,Low risk vermin infestation,Low Risk,2019-06-05,1970-01-01T12:00:00.000Z
2426,BOOGALOOS,3296 22nd St,94110,37.755357,-122.420652,2102011932,2018-05-08,89,Routine - Unscheduled,103105,Improper cooling methods,High Risk,2018-05-08,1970-01-01T12:00:00.000Z
1075,"SANDWICH PLACE, THE",2029 MISSION St,94110,37.764384,-122.419566,146008526,2019-09-26,94,Routine - Unscheduled,103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,2019-09-26,1970-01-01T12:00:00.000Z
63121,Sodini's Restaurant,510 Green St,94133,37.799697,-122.407614,-1481744509,2018-06-11,81,Routine - Unscheduled,103103,High risk food holding temperature,High Risk,2018-06-11,1970-01-01T12:00:00.000Z
7645,LUCKY PORK MARKET,2659 MISSION St,94110,37.754513,-122.418626,15982542,2016-12-30,90,Routine - Unscheduled,103139,Improper food storage,Low Risk,2016-12-30,1970-01-01T12:00:00.000Z
999,SERRANO'S PIZZA II,3274 21st St,94110,37.756997,-122.420534,1135922906,2017-07-14,77,Routine - Unscheduled,103142,Unclean nonfood contact surfaces,Low Risk,2017-07-14,1970-01-01T12:00:00.000Z
63413,Mymy,1500 California St,94109,37.790798,-122.419214,1948441306,2017-02-02,94,Routine - Unscheduled,103143,Inadequate warewashing facilities or equipment,Low Risk,2017-02-02,1970-01-01T12:00:00.000Z
61285,Cocola,3251 20th Ave 186,94132,37.728497,-122.475639,-398141070,2019-03-22,91,Routine - Unscheduled,103103,High risk food holding temperature,High Risk,2019-03-22,1970-01-01T12:00:00.000Z
1243,JAVA SUPREME,0703 GUERRERO St,94110,37.759934,-122.423553,-233880572,2017-10-12,87,Routine - Unscheduled,103114,High risk vermin infestation,High Risk,2017-10-12,1970-01-01T12:00:00.000Z
2893,FOREIGN CINEMA,2534 MISSION St,94110,37.756417,-122.418884,1557362087,2017-09-19,86,Routine - Unscheduled,103161,Low risk vermin infestation,Low Risk,2017-09-19,1970-01-01T12:00:00.000Z
3267,The Olive Garden Italian,3251 20th Ave,94132,37.728497,-122.475639,302666014,2018-05-10,83,Routine - Unscheduled,103144,Unapproved or unmaintained equipment or utensils,Low Risk,2018-05-10,1970-01-01T12:00:00.000Z
403,HAAGEN-DAZS #561,865 MARKET St,94103,37.784317,-122.407563,1665474766,2018-04-30,94,Routine - Unscheduled,103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,2018-04-30,1970-01-01T12:00:00.000Z
35591,The Monk's Kettle,3141 16TH St,94103,37.764814,-122.422979,-1407708275,2018-01-09,87,Routine - Unscheduled,103161,Low risk vermin infestation,Low Risk,2018-01-09,1970-01-01T12:00:00.000Z
2743,NOAH'S NEW YORK BAGELS #2147,2300 16 th St,94103,37.765708,-122.409002,-557716833,2019-01-11,96,Routine - Unscheduled,103154,Unclean or degraded floors walls or ceilings,Low Risk,2019-01-11,1970-01-01T12:00:00.000Z
7493,MR. PICKLE'S SANDWICH SHOP,3380 20th St,94110,37.758817,-122.416522,1995861013,2017-05-17,85,Routine - Unscheduled,103156,Permit license or inspection report not posted,Low Risk,2017-05-17,1970-01-01T12:00:00.000Z
5854,Gateway High/Kip Schools,1430 Scott St,94115,37.783427,-122.437747,1304627971,2018-02-27,98,Routine - Unscheduled,103144,Unapproved or unmaintained equipment or utensils,Low Risk,2018-02-27,1970-01-01T12:00:00.000Z
36589,Catering With Style,2800 BRYANT St,94110,37.749603,-122.408928,-391955588,2018-06-04,67,Routine - Unscheduled,103132,Improper thawing methods,Moderate Risk,2018-06-04,1970-01-01T12:00:00.000Z
64154,"Yummy Dim Sum & Fast Food, LLC",930 Stockton St,94108,37.794457,-122.407896,-1260969115,2017-11-09,86,Routine - Unscheduled,103120,Moderate risk food holding temperature,Moderate Risk,2017-11-09,1970-01-01T12:00:00.000Z
62277,Tacos San Buena,16th & Shotwell St,94102,37.779847,-122.418985,17601021,2018-02-21,87,Routine - Unscheduled,103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk,2018-02-21,1970-01-01T12:00:00.000Z
2737,CAFFE' ROMA,885 Bryant St,94103,37.774677,-122.404222,-1157736219,2017-07-25,90,Routine - Unscheduled,103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,2017-07-25,1970-01-01T12:00:00.000Z
